66:train {'center': 0.38709030483425694, 'dim': 1.0394255962801986, 'loss': 0.4910328671650786}, val :{'center': 0.5656178690688789, 'dim': 1.2348479728105914, 'loss': 0.6891026691297245}
67:train {'center': 0.3853559554223822, 'dim': 1.036642851275812, 'loss': 0.4890202401695691}, val :{'center': 0.5623484638673701, 'dim': 1.2346879908683783, 'loss': 0.6858172649153581}
68:train {'center': 0.38796648375990295, 'dim': 1.02491765424981, 'loss': 0.49045825067500004}, val :{'center': 0.5231029019721652, 'dim': 1.2313036564601267, 'loss': 0.6462332696324059}
69:train {'center': 0.37965463505139047, 'dim': 1.032018325493569, 'loss': 0.48285646931109183}, val :{'center': 0.5320687987308648, 'dim': 1.2199189064118172, 'loss': 0.6540606910269613}
70:train {'center': 0.390279078337716, 'dim': 1.0317068543864303, 'loss': 0.49344976432263965}, val :{'center': 0.5717857848166843, 'dim': 1.2576756629031556, 'loss': 0.697553353447787}
71:train {'center': 0.3746925802926413, 'dim': 1.0156029622980363, 'loss': 0.47625287878193007}, val :{'center': 0.5585785748947902, 'dim': 1.2461561008934487, 'loss': 0.683194186665166}
72:train {'center': 0.37552661636054174, 'dim': 1.0179626783802962, 'loss': 0.4773228875506176}, val :{'center': 0.548331365511442, 'dim': 1.237073233592902, 'loss': 0.6720386907642039}
73:train {'center': 0.3715991353662595, 'dim': 1.0098029618757471, 'loss': 0.4725794337704177}, val :{'center': 0.5170469499681745, 'dim': 1.2095750923937334, 'loss': 0.6380044606598589}
74:train {'center': 0.3672422722210811, 'dim': 1.0147800934063038, 'loss': 0.4687202824226039}, val :{'center': 0.47747838269297804, 'dim': 1.2014422295498977, 'loss': 0.5976226072131008}
75:train {'center': 0.37308738708152883, 'dim': 1.0146975036774852, 'loss': 0.4745571382787086}, val :{'center': 0.5097942336716407, 'dim': 1.2161672430269441, 'loss': 0.6314109597060934}
76:train {'center': 0.3637332674008642, 'dim': 0.9990455886910378, 'loss': 0.4636378259381955}, val :{'center': 0.5031074751936467, 'dim': 1.2183477415094974, 'loss': 0.6249422515408615}
77:train {'center': 0.36921918094730194, 'dim': 1.006087963388886, 'loss': 0.46982797951707456}, val :{'center': 0.5064811918696012, 'dim': 1.2029390341990949, 'loss': 0.6267750969145897}
78:train {'center': 0.3694854110422153, 'dim': 0.9983153194475083, 'loss': 0.46931694393652185}, val :{'center': 0.5358736684244623, 'dim': 1.2045982658102108, 'loss': 0.6563334970412938}
79:train {'center': 0.3560482724900438, 'dim': 1.0031393055952442, 'loss': 0.4563622049086382}, val :{'center': 0.5209452833247126, 'dim': 1.2379762151851483, 'loss': 0.6447429067710936}
80:train {'center': 0.34959756989110685, 'dim': 0.9869162106239406, 'loss': 0.44828919382790916}, val :{'center': 0.4870563574365531, 'dim': 1.1960416504007771, 'loss': 0.6066605243235836}
81:train {'center': 0.3591046189306565, 'dim': 0.9932409539790162, 'loss': 0.45842871453162576}, val :{'center': 0.4650706834623994, 'dim': 1.189642071120219, 'loss': 0.5840348926212834}
82:train {'center': 0.3560967967629204, 'dim': 0.98079242312748, 'loss': 0.45417603898986514}, val :{'center': 0.49618306378404886, 'dim': 1.2023285891762292, 'loss': 0.6164159250751214}
83:train {'center': 0.3728732837653663, 'dim': 0.9988411896059471, 'loss': 0.47275740520281434}, val :{'center': 0.4650444256459873, 'dim': 1.197933587632306, 'loss': 0.584837786170525}
84:train {'center': 0.3672968586352645, 'dim': 0.98285337190024, 'loss': 0.46558219643449145}, val :{'center': 0.45209066083660754, 'dim': 1.1827060816006931, 'loss': 0.5703612700905266}
85:train {'center': 0.3448867036490889, 'dim': 0.9840564892525407, 'loss': 0.44329235435333}, val :{'center': 0.5065885561672093, 'dim': 1.224778539587196, 'loss': 0.6290664127780592}
86:train {'center': 0.3373973086876741, 'dim': 0.9739741732200139, 'loss': 0.4347947270192935}, val :{'center': 0.49152624635028225, 'dim': 1.1861370351397733, 'loss': 0.6101399517694074}
87:train {'center': 0.34550050545962896, 'dim': 0.9890072937203918, 'loss': 0.444401236075815}, val :{'center': 0.5368913684526476, 'dim': 1.2043352317191196, 'loss': 0.6573248926851836}
88:train {'center': 0.35308552316019953, 'dim': 0.9908276017247601, 'loss': 0.4521682854462951}, val :{'center': 0.5137630755907722, 'dim': 1.22641023571444, 'loss': 0.6364041010428316}
89:train {'center': 0.34785619978712523, 'dim': 0.9719143870238379, 'loss': 0.4450476386096336}, val :{'center': 0.44846266960276565, 'dim': 1.1928876058342375, 'loss': 0.5677514322202001}
90:train {'center': 0.34340883205124606, 'dim': 0.9719247616641581, 'loss': 0.44060131103772804}, val :{'center': 0.49534040065301643, 'dim': 1.2032828378367433, 'loss': 0.6156686856517559}
